date,station,station_code,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2026-04-17,Vĩnh Long,XSVL - 47VL16,865023,88617,73106,1538,95878,89040,85015,13922,22402,68305,74606,47690,5108,1500,1363,876,796,31
2026-04-24,Vĩnh Long,XSVL - 47VL17,800023,94606,62889,33568,55148,78986,17174,66883,13349,36251,99565,48897,1898,3773,4468,1978,532,60
2026-05-01,Vĩnh Long,XSVL - 47VL18,405967,33641,76121,32553,33534,28659,95047,34659,18091,34163,39642,49280,7884,6595,5413,1124,798,23
2026-05-08,Vĩnh Long,XSVL - 47VL19,58821,69099,82722,10875,60374,38926,59015,4759,3747,28383,3391,35311,5833,7423,7689,3744,610,68
2026-05-15,Vĩnh Long,XSVL - 47VL20,216215,75759,48400,85216,24672,81890,74589,19516,74905,79365,49958,32396,6558,8696,9071,9899,792,51
2026-05-22,Vĩnh Long,XSVL - 47VL21,576339,49411,46677,60654,13695,84090,20388,83683,829,53829,9318,38576,2960,4654,3823,8109,829,85
2026-05-29,Vĩnh Long,XSVL - 47VL22,132549,64042,48404,55928,88453,68782,71184,18974,80273,68353,87109,3224,6684,9216,7033,8456,351,54
2026-06-05,Vĩnh Long,XSVL - 47VL23,591978,73464,93850,26659,46310,26194,55029,99548,5196,16311,58269,96560,6809,4348,2195,9893,47,64
2026-06-12,Vĩnh Long,XSVL - 47VL24,805696,73137,26043,26473,31469,8086,80938,84480,28936,24407,42009,81130,8986,3118,9966,1361,739,90
2026-06-19,Vĩnh Long,XSVL - 47VL25,446202,61443,91517,99661,54732,17117,40210,89498,63392,20660,27445,92226,6173,8073,5736,831,347,46
2026-06-26,Vĩnh Long,XSVL - 47VL26,442348,83033,62867,60035,89232,6313,73026,43412,85574,54700,93359,15958,2052,9942,5591,4090,27,19
2026-07-03,Vĩnh Long,XSVL - 47VL27,911134,63799,48636,11842,69013,70577,77718,80978,41363,62320,33733,8396,9796,630,8755,978,458,57
2026-07-10,Vĩnh Long,XSVL - 47VL28,73565,91553,8409,5155,43291,28647,7105,8241,32095,97330,54446,92219,8141,1990,3659,5057,95,95
